Blog	a	s	last	here	of	that	would	be	to	even	i	have	on	this	so	can	the	it	them	by	from	make	for	you	was	me	and	first	how	is	also	has	in	he	my	at	d	like	with	but	m	not	two	only	used	use	these	are	if	see	day	good	into	all	because	most	or	do	why	people	they	too	their	as	may	there	more	than	re	an	other	your	about	when	t	up	will	who	new	said	we	what	best	some	one	out	those	no	ve	been	had	just	now	while	news	us	his	were	take	read	going	which	another	don	well	time	its	today	find	took	free	get	around	could	way	right	our	know	down	long	back	game	years	over	go	world	her	got	should	series	after	off	week	little	life	great	think	she	year	video
Guy Kawasaki	30	14	2	2	16	6	1	2	26	1	11	3	14	6	3	1	39	10	2	3	4	1	8	7	1	2	18	10	6	7	2	1	8	1	3	3	1	3	3	1	4	2	2	2	1	1	1	8	3	1	3	1	1	1	3	2	3	5	4	2	1	2	2	1	2	5	1	2	1	1	1	3	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	43	15	0	2	34	13	11	4	36	4	18	5	17	7	7	10	71	14	4	4	7	3	16	36	6	4	40	2	5	10	2	1	23	2	7	7	2	6	6	10	2	5	3	2	2	3	1	6	8	4	3	0	3	5	5	3	7	3	0	3	7	2	4	12	1	5	4	1	5	5	4	8	9	4	11	3	1	5	8	2	12	6	4	3	13	2	3	6	4	4	3	6	4	1	1	1	1	1	1	2	2	5	2	4	2	4	1	1	3	1	2	5	2	1	1	1	3	2	1	1	3	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gizmodo	53	21	3	1	37	20	2	3	40	2	1	5	20	6	3	2	48	16	1	3	4	1	17	4	9	0	25	2	1	16	2	9	19	1	3	5	0	5	16	12	0	1	2	0	0	2	1	0	1	3	0	0	1	2	1	1	10	0	0	6	1	0	6	5	2	4	29	1	0	5	1	4	5	7	6	3	4	2	15	0	10	1	2	5	4	2	4	3	4	2	0	3	4	1	0	0	4	4	2	25	0	1	1	1	0	1	5	4	1	0	1	3	2	2	1	2	3	1	1	0	5	6	5	3	0	2	3	3	2	3	2	1	2	1	1	1	0	0	0	0
NB Blog Feed	77	73	3	1	89	38	5	11	118	5	4	9	66	15	2	0	197	16	2	16	11	4	41	13	16	1	68	1	6	21	2	10	45	9	0	15	3	8	22	8	2	14	3	3	1	2	2	7	5	1	4	3	1	3	1	5	3	2	1	3	11	3	16	23	6	4	2	2	4	11	7	6	6	7	9	9	5	10	19	2	4	3	0	3	9	6	3	1	1	5	2	2	5	6	16	2	9	7	3	0	2	2	4	2	2	3	4	3	0	2	3	5	2	1	4	10	2	2	1	1	3	3	1	8	0	3	6	0	5	6	10	1	2	0	19	3	1	3	3	0
O'Reilly Radar	8	7	0	0	10	10	0	0	13	0	0	0	2	3	0	1	22	7	0	1	6	0	3	3	0	2	6	0	0	10	0	4	4	0	1	2	1	1	2	1	0	0	0	1	2	0	1	2	1	0	0	0	1	6	1	2	1	1	0	1	1	0	2	1	7	1	0	0	3	3	0	0	0	0	0	1	1	1	3	0	2	1	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
pharyngula	27	13	0	4	32	8	0	2	25	0	10	11	3	7	2	2	49	17	1	2	2	0	6	7	5	6	27	1	0	10	3	1	13	0	4	2	0	1	4	2	2	2	1	2	0	2	2	4	1	3	0	0	1	3	1	0	1	1	1	0	6	0	3	6	2	1	3	1	1	3	1	1	1	4	4	1	2	0	0	0	3	1	0	1	3	0	0	3	1	1	2	0	2	0	0	0	0	1	0	0	2	4	1	2	0	1	1	0	0	0	1	2	2	0	0	2	0	2	4	2	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0
Seth Godin's Blog on marketing, tribes and respect	15	13	1	0	10	13	0	3	17	0	3	7	5	7	3	7	29	32	0	1	0	1	5	18	1	0	10	2	1	13	0	3	5	0	1	2	0	5	1	6	0	2	1	1	0	1	0	2	6	0	2	1	0	3	3	0	3	3	2	2	1	0	0	1	0	1	3	0	4	6	0	2	2	2	10	2	4	0	0	0	11	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	2	0	2	0	3	4	0	1	0	2	0	0	0	0	0	3	0	0	2	2	1	2	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ThinkProgress	11	5	3	0	27	9	3	4	21	1	0	3	10	3	0	0	34	1	0	3	4	0	7	0	3	0	13	1	1	8	0	3	15	3	0	4	2	1	4	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	5	0	0	2	1	0	2	0	0	1	3	0	0	2	2	1	1	1	5	3	2	2	0	0	2	0	1	0	3	0	1	0	1	0	0	1	0	6	1	1	0	1	1	0	0	1	1	1	1	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1
Autoblog	27	17	0	3	68	3	0	10	21	3	1	5	88	63	0	4	64	12	0	0	7	3	56	8	3	0	34	7	0	22	0	5	31	1	1	3	0	0	11	0	0	1	0	2	1	39	5	10	0	39	3	0	6	0	0	7	3	0	0	0	4	0	0	4	39	3	14	13	4	4	4	16	0	3	1	12	3	0	18	2	8	1	2	1	2	6	1	1	0	0	0	6	10	0	1	1	2	0	4	1	0	0	4	1	3	4	1	2	3	0	0	0	0	10	1	1	40	0	0	1	0	6	0	0	4	0	0	1	4	3	0	9	0	2	1	0	0	0	0	7
blog maverick	21	2	0	0	15	10	1	2	17	2	11	6	12	5	0	1	37	8	1	4	3	0	6	5	3	2	11	0	1	12	0	1	11	1	4	1	0	2	2	2	1	5	0	0	0	1	0	6	2	0	2	0	2	2	0	1	4	3	1	1	0	0	1	1	2	4	2	4	0	1	1	1	2	3	4	1	1	1	1	1	8	2	0	3	3	2	0	3	0	2	1	0	1	1	4	3	0	2	1	0	0	1	0	2	0	2	0	0	4	2	1	1	0	0	0	2	3	1	0	2	2	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	1	0	2	0
